COMBAT,SEEN
3,766
4,60
5,28
6,41
7,19
8,41
9,36
10,32
11,23
12,25
13,40
14,25
15,24
16,38
17,25
18,32
19,22
20,32
21,31
22,32
23,51
24,39
25,49
26,40
27,39
28,59
29,55
30,72
31,51
32,56
33,70
34,73
35,67
36,61
37,84
38,92
39,59
40,69
41,92
42,88
43,73
44,91
45,88
46,98
47,114
48,116
49,125
50,125
51,107
52,116
53,125
54,138
55,135
56,139
57,147
58,132
59,126
60,150
61,143
62,175
63,167
64,171
65,170
66,187
67,176
68,187
69,169
70,182
71,211
72,199
73,211
74,202
75,233
76,220
77,212
78,191
79,205
80,219
81,195
82,207
83,229
84,202
85,231
86,257
87,269
88,255
89,274
90,272
91,235
92,243
93,225
94,239
95,257
96,247
97,263
98,223
99,227
100,272
101,262
102,263
103,251
104,226
105,236
106,249
107,250
108,223
109,213
110,187
111,214
112,207
113,202
114,194
115,229
116,189
117,190
118,206
119,197
120,203
121,213
122,325
123,509
124,343
125,253
126,531